F1,1,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
19,34707,0.0020,1.2,0.0001,32341,37394,4.18,405,8.582
20,39185,0.0009,0.6,0.0000,37842,40465,1.89,340,3.998
21,41296,0.0010,0.6,0.0000,40465,44018,2.41,310,4.410
22,46105,0.0006,0.4,0.0000,44644,47079,1.60,285,2.572
23,62428,0.0007,0.4,0.0000,54387,98978,17.06,209,2.921
24,114330,0.0006,0.4,0.0000,104826,155266,11.60,316,2.441
25,182224,0.0005,0.3,0.0000,163307,>200000,8.38,161,2.304
26,>200000,0.0002,0.1,0.0000,>200000,>200000,4.57,92,0.791
27,>200000,0.0001,0.1,0.0000,>200000,>200000,1.38,92,0.512
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.1649,ng/uL,,,,,,
 ,TIM: ,0.1234,nmole/L,,,,,,
 ,Total Conc.: ,0.1766,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,0.1,,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F5,1,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),0.0012,,0.8611,0,68,515.14,5554,35.099
2,205,0.0010,2.9,0.0077,157,326,16.40,208,3.003
3,612,0.0000,0.0,0.0000,542,654,1.04,20,0.032
4,2650,0.0008,2.3,0.0004,1999,3673,12.76,111,2.406
5,15908,0.0032,9.0,0.0004,11115,16586,11.34,282,9.433
6,23449,0.0048,13.7,0.0004,18015,23513,7.18,379,14.274
7,25624,0.0018,5.1,0.0001,24536,26903,2.66,426,5.321
8,27479,0.0017,4.8,0.0001,26903,28950,2.12,453,4.956
9,32149,0.0040,11.4,0.0002,28950,33876,4.56,489,11.886
10,36754,0.0013,3.8,0.0001,35667,37330,1.34,479,3.995
11,39953,0.0014,4.0,0.0001,39825,41488,1.22,487,4.224
12,44366,0.0035,9.9,0.0001,41488,45687,2.84,569,10.374
13,49930,0.0024,6.7,0.0001,48122,59504,6.22,594,7.029
14,101171,0.0040,11.2,0.0001,88744,138453,12.65,656,11.729
15,>200000,0.0017,4.9,0.0000,>200000,>200000,4.86,421,5.157
16,>200000,0.0008,2.2,0.0000,>200000,>200000,2.83,251,2.294
17,>200000,0.0005,1.3,0.0000,>200000,>200000,2.80,147,1.352
18,>200000,0.0003,0.8,0.0000,>200000,>200000,1.63,139,0.827
19,>200000,0.0006,1.6,0.0000,>200000,>200000,3.99,101,1.683
20,>200000,0.0009,2.5,0.0000,>200000,>200000,3.09,165,2.560
21,>200000,0.0003,0.9,0.0000,>200000,>200000,2.76,101,0.912
22,>200000,0.0001,0.3,0.0000,>200000,>200000,0.95,64,0.284
23,>200000,0.0002,0.6,0.0000,>200000,>200000,1.17,87,0.590
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.0351,ng/uL,,,,,,
 ,TIM: ,0.0098,nmole/L,,,,,,
 ,Total Conc.: ,0.0582,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,3.4,,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F6,2,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),0.0012,,1.5446,0,61,747.81,5781,34.937
2,91,0.0020,0.6,0.0313,61,167,22.16,307,5.868
3,204,0.0015,0.4,0.0118,167,244,7.26,315,4.325
4,328,0.0006,0.2,0.0031,244,355,8.27,161,1.708
5,559,0.0001,0.0,0.0004,522,575,0.97,108,0.364
6,703,0.0012,0.3,0.0029,575,725,5.90,130,3.446
7,819,0.0022,0.6,0.0046,738,838,3.54,261,6.532
8,2813,0.1932,54.1,0.1454,838,3766,38.92,9395,571.030
9,4301,0.1544,43.2,0.0451,3766,10000,24.38,7722,456.256
10,11357,0.0012,0.3,0.0002,11308,15037,7.76,209,3.422
11,22731,0.0001,0.0,0.0000,20948,23833,2.79,32,0.211
12,27735,0.0002,0.1,0.0000,24344,29334,3.56,70,0.671
13,30933,0.0002,0.1,0.0000,29974,34132,3.11,76,0.585
14,38418,0.0001,0.0,0.0000,37970,40209,1.38,54,0.222
15,43114,0.0002,0.1,0.0000,41808,46314,2.93,91,0.625
16,48539,0.0001,0.0,0.0000,47009,49652,1.22,54,0.341
17,69007,0.0002,0.0,0.0000,49652,87282,12.94,68,0.459
18,120178,0.0000,0.0,0.0000,97516,123833,6.78,38,0.097
19,151611,0.0001,0.0,0.0000,139915,193131,6.91,56,0.217
20,>200000,0.0000,0.0,0.0000,>200000,>200000,0.19,13,0.009
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.3574,ng/uL,,,,,,
 ,TIM: ,0.2449,nmole/L,,,,,,
 ,Total Conc.: ,0.3586,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,0.0,,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F7,3,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),0.0012,,0.5970,0,69,468.29,6628,41.682
2,98,0.0004,0.4,0.0068,69,142,15.39,76,1.480
3,212,0.0015,1.4,0.0107,142,372,21.29,313,5.277
4,664,0.0003,0.3,0.0008,611,688,3.28,100,1.182
5,747,0.0009,0.9,0.0020,706,786,2.79,185,3.167
6,991,0.0039,3.7,0.0069,786,1039,7.62,260,13.628
7,1065,0.0003,0.3,0.0005,1058,1071,0.39,288,1.102
8,1165,0.0025,2.4,0.0036,1071,1176,2.68,434,8.815
9,2441,0.0189,18.0,0.0163,1176,2859,28.77,1775,66.588
10,3371,0.0148,14.1,0.0068,2859,4394,12.25,1764,52.180
11,5325,0.0181,17.3,0.0054,4394,6790,12.47,1577,63.711
12,7488,0.0067,6.4,0.0013,7488,9232,6.12,908,23.713
13,9721,0.0049,4.7,0.0007,9651,13536,10.41,570,17.183
14,14504,0.0024,2.3,0.0003,14068,16344,4.42,505,8.364
15,17652,0.0015,1.4,0.0001,16925,18329,2.30,478,5.154
16,21193,0.0054,5.2,0.0004,18329,22616,5.95,600,19.070
17,23385,0.0040,3.8,0.0003,22885,26839,4.79,668,14.121
18,28566,0.0060,5.7,0.0003,27287,32980,5.47,808,21.063
19,34707,0.0052,4.9,0.0002,33428,38802,4.34,717,18.200
20,41936,0.0018,1.7,0.0001,40401,42836,1.69,528,6.207
21,49096,0.0017,1.6,0.0001,47009,50001,1.87,482,5.935
22,89475,0.0019,1.8,0.0000,67545,112868,14.67,441,6.823
23,176407,0.0005,0.5,0.0000,162576,186587,3.95,241,1.763
24,>200000,0.0007,0.6,0.0000,>200000,>200000,5.21,189,2.337
25,>200000,0.0003,0.3,0.0000,>200000,>200000,4.20,113,0.992
26,>200000,0.0001,0.1,0.0000,>200000,>200000,2.99,75,0.489
27,>200000,0.0001,0.1,0.0000,>200000,>200000,1.86,78,0.303
28,>200000,0.0000,0.0,0.0000,>200000,>200000,1.01,44,0.119
29,>200000,0.0001,0.1,0.0000,>200000,>200000,0.74,75,0.210
30,>200000,0.0000,0.0,0.0000,>200000,>200000,1.06,58,0.113
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.1047,ng/uL,,,,,,
 ,TIM: ,0.0636,nmole/L,,,,,,
 ,Total Conc.: ,0.1189,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,0.6,,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F8,4,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),0.0012,,0.8611,0,57,477.78,6790,40.533
2,89,0.0008,1.1,0.0139,57,142,21.22,122,2.823
3,209,0.0015,1.9,0.0120,142,256,10.68,351,5.067
4,733,0.0019,2.4,0.0044,594,752,6.30,201,6.379
5,797,0.0009,1.1,0.0018,764,806,1.58,244,2.961
6,858,0.0026,3.3,0.0049,806,912,3.48,299,8.823
7,999,0.0048,6.2,0.0080,912,1065,4.42,398,16.440
8,1155,0.0022,2.8,0.0032,1110,1169,1.52,439,7.486
9,1255,0.0040,5.1,0.0053,1196,1278,1.90,644,13.702
10,1859,0.0052,6.6,0.0054,1278,1929,14.19,1232,17.689
11,3138,0.0434,55.8,0.0151,1929,8581,37.38,1481,148.984
12,8953,0.0024,3.1,0.0004,8791,9767,3.13,572,8.179
13,10485,0.0027,3.5,0.0004,9977,13197,8.24,378,9.315
14,15569,0.0011,1.5,0.0001,14988,17071,3.78,301,3.910
15,24472,0.0012,1.5,0.0001,21847,24600,3.49,234,4.058
16,26775,0.0008,1.1,0.0001,25176,27735,2.80,245,2.839
17,37458,0.0011,1.4,0.0000,35987,42000,4.42,214,3.838
18,48539,0.0004,0.5,0.0000,47496,52925,2.29,181,1.286
19,85820,0.0003,0.4,0.0000,69738,116523,13.69,112,1.174
20,120909,0.0004,0.5,0.0000,116523,158921,9.20,102,1.249
21,>200000,0.0001,0.1,0.0000,>200000,>200000,2.58,76,0.382
22,>200000,0.0000,0.1,0.0000,>200000,>200000,1.95,62,0.139
23,>200000,0.0000,0.0,0.0000,>200000,>200000,2.10,36,0.085
24,>200000,0.0000,0.0,0.0000,>200000,>200000,0.29,25,0.020
25,>200000,0.0000,0.0,0.0000,>200000,>200000,1.69,28,0.040
26,>200000,0.0000,0.0,0.0000,>200000,>200000,1.15,48,0.118
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.0779,ng/uL,,,,,,
 ,TIM: ,0.0752,nmole/L,,,,,,
 ,Total Conc.: ,0.0892,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,0.2,,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F9,SampF9,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),Inf,,Inf,801,1002,2.36,471,6.843
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.0000,ng/uL,,,,,,
 ,TIM: ,0.0000,nmole/L,,,,,,
 ,Total Conc.: ,0.0000,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,N/A (Lower Marker was set at time zero),,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F10,SampF10,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),Inf,,Inf,796,992,2.82,449,7.026
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.0000,ng/uL,,,,,,
 ,TIM: ,0.0000,nmole/L,,,,,,
 ,Total Conc.: ,0.0000,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,N/A (Lower Marker was set at time zero),,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F11,SampF11,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),Inf,,Inf,775,982,1.67,454,5.853
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.0000,ng/uL,,,,,,
 ,TIM: ,0.0000,nmole/L,,,,,,
 ,Total Conc.: ,0.0000,ng/uL,,,,,,
 , , ,,,,,,,
 ,GQN: ,N/A (Lower Marker was set at time zero),,,,,,,
 ,Threshold:,50000,,,,,,,
 ,,,,,,,,,
F12,ladder,,,,,,,,
Peak ID,Size (bp),ng/ul,% (Conc.) (ng/uL),nmole/L,From (bp),To (bp),CV%,RFU,Corr. Peak Area
1,1 (LM),0.0012,,0.8611,0,115,892.79,7246,42.471
2,1300,0.0072,5.1,0.0087,1177,2069,10.33,3433,25.931
3,10000,0.0261,18.3,0.0052,3348,11405,24.03,2688,93.720
4,17700,0.0315,22.0,0.0033,11405,19010,13.51,3894,113.019
5,21000,0.0212,14.9,0.0017,19010,22077,3.80,4722,76.255
6,23000,0.0254,17.8,0.0018,22077,26327,4.88,4815,91.416
7,42000,0.0138,9.7,0.0005,40785,44505,2.38,3295,49.733
8,50000,0.0164,11.5,0.0005,47774,98247,22.98,2865,58.993
9,165500,0.0012,0.8,0.0000,160383,189495,4.94,477,4.330
,,,,,,,,,
 , , ,,,,,,,
 ,TIC: ,0.1429,ng/uL,,,,,,
 ,TIM: ,0.0216,nmole/L,,,,,,
 ,Total Conc.: ,0.2000,ng/uL,,,,,,
 , , ,,,,,,,
 ,,,,,,,,,
