Size (bp),F1: 1,F2: 2,F3: 3,F4: 4,F5: 1,F6: 2,F7: 3,F8: 4,F9: SampF9,F10: SampF10,F11: SampF11,F12: ladder
19847.97,218.57,34.91,527.89,487.34,282.69,29.62,569.99,227.07,10.29,27.23,-4.98,2089.83
19900.33,218.69,20.79,520.54,481.68,282.97,24.64,567.41,209.08,9.98,28.50,-2.79,2137.25
19952.70,213.66,10.80,509.76,474.61,290.23,20.87,560.74,203.52,12.75,29.04,-2.21,2200.24
20005.06,207.54,12.33,508.97,476.01,293.25,20.67,555.98,197.95,17.08,29.24,-1.06,2261.21
20057.43,210.64,18.40,513.69,489.53,289.94,23.67,559.42,206.68,19.08,30.07,0.59,2319.68
20109.79,224.47,18.25,510.68,504.04,285.79,29.42,571.25,227.95,17.72,30.24,0.22,2399.63
20162.16,237.88,14.63,501.76,511.15,283.49,36.91,582.20,245.73,15.24,28.02,-1.95,2516.93
20214.52,245.28,19.79,505.05,511.89,282.37,44.88,580.59,253.23,15.53,24.45,-2.35,2670.62
20266.89,249.63,34.36,530.09,508.89,284.15,48.64,563.42,249.29,20.58,22.03,-0.40,2853.43
20319.25,249.56,41.75,563.50,509.59,290.17,44.64,539.13,230.19,25.93,21.23,-0.30,3042.28
20371.62,244.01,32.42,582.52,529.59,295.18,37.96,522.17,200.04,24.36,20.01,-3.76,3203.19
20423.98,239.13,17.61,576.71,571.17,292.48,30.00,523.52,175.89,15.93,17.29,-5.72,3326.94
20476.35,241.15,8.51,559.54,602.96,284.38,12.57,544.97,168.92,9.40,15.96,-2.00,3443.87
20528.71,250.64,3.57,556.14,588.62,277.84,-11.14,577.54,173.69,10.69,18.52,4.36,3592.28
20581.08,254.52,1.63,572.83,536.09,274.41,-24.67,599.49,183.11,15.26,21.92,7.84,3778.08
20633.45,258.39,5.80,593.27,488.85,274.52,-25.59,592.54,197.22,15.89,22.67,6.75,3972.00
20685.81,251.87,14.87,607.65,474.46,282.85,-24.92,567.65,211.08,11.85,21.67,2.83,4144.77
20738.17,235.06,22.66,620.61,488.40,300.76,-22.34,553.01,212.27,7.58,19.67,-1.23,4292.44
20790.54,223.13,23.63,630.44,509.77,319.05,-11.52,555.42,201.11,6.50,16.73,-4.15,4423.77
20842.90,218.16,17.32,625.91,515.04,325.84,0.60,555.83,195.41,8.18,15.97,-7.76,4544.70
20895.27,214.01,9.42,604.40,499.26,320.71,3.56,540.37,204.27,10.31,18.22,-12.32,4653.13
20947.63,210.69,5.40,576.67,485.55,314.84,-0.24,518.28,214.70,11.98,18.55,-13.13,4723.34
21000.00,209.54,4.23,553.88,493.23,316.85,-3.24,513.72,213.56,14.39,15.33,-8.42,4715.28
21001.00,210.51,2.00,540.60,511.52,324.50,-5.40,509.16,205.06,18.53,13.53,-2.55,4627.14
21039.44,213.77,-3.16,539.23,521.13,331.95,-8.96,523.55,200.91,22.43,16.07,2.11,4514.26
21077.88,217.04,-11.03,547.91,520.08,339.16,-11.19,556.54,207.10,22.45,20.99,5.88,4433.30
21116.33,219.39,-18.00,555.45,516.15,346.91,-10.13,590.16,221.32,18.01,26.10,7.07,4384.55
21154.77,222.75,-17.91,554.75,507.57,350.14,-8.02,601.43,236.48,12.34,30.07,4.93,4320.95
21193.21,224.51,-10.85,552.41,485.85,347.96,-6.24,579.68,247.99,8.19,30.97,1.77,4204.14
21231.65,221.43,-7.18,551.72,459.60,347.58,-3.52,537.42,255.44,6.68,26.69,-1.27,4044.05
21270.10,219.22,-15.01,547.63,460.54,349.87,2.87,495.57,257.07,8.62,18.28,-4.46,3877.03
21308.54,222.61,-27.42,541.81,509.96,347.54,14.11,463.79,250.20,12.24,12.01,-6.08,3717.75
21346.98,226.01,-32.28,540.21,578.54,339.36,24.36,441.53,234.99,13.57,12.51,-3.88,3557.24
21385.42,226.11,-29.32,540.83,604.85,332.20,25.50,428.01,212.84,11.63,16.97,1.66,3394.08
21423.87,227.63,-26.97,534.35,572.24,331.47,18.17,426.48,187.37,9.05,20.96,6.64,3238.87
21462.31,230.01,-28.06,514.16,524.80,337.41,9.16,442.64,167.56,7.84,24.06,7.58,3092.74
21500.75,225.97,-29.16,488.50,493.63,347.35,3.08,477.00,161.85,7.66,27.94,6.38,2941.03
21539.19,214.66,-29.05,476.27,470.08,357.33,3.71,516.82,168.04,7.73,32.22,7.07,2776.46
21577.63,204.07,-29.03,482.92,449.06,362.70,12.93,539.60,174.39,8.63,34.10,8.46,2624.26
21616.08,199.95,-27.16,492.99,442.92,362.15,24.97,533.73,171.91,11.68,32.02,6.99,2525.69
21654.52,198.68,-19.92,492.41,462.92,360.61,31.35,514.27,162.65,15.54,27.94,3.98,2483.39
21692.96,196.54,-10.17,484.39,504.77,364.37,29.74,505.32,156.37,16.99,25.54,3.14,2445.52
21731.40,200.01,-6.18,480.47,545.08,373.17,23.38,511.99,160.47,16.06,25.83,3.91,2370.22
21769.85,214.10,-12.05,487.00,563.95,377.03,17.01,524.70,171.88,14.87,25.39,2.52,2280.94
21808.29,229.63,-23.34,499.63,563.49,363.23,13.58,536.92,180.88,13.40,21.73,-1.79,2228.49
21846.73,235.61,-30.90,505.79,563.02,331.99,12.54,543.70,183.88,10.89,17.48,-5.53,2224.50
21885.17,233.06,-28.42,496.97,548.02,302.30,13.16,539.42,186.64,7.55,15.98,-6.10,2239.80
21923.62,229.48,-19.51,489.08,520.05,294.87,15.48,526.22,195.03,4.24,17.21,-5.10,2243.01
21962.06,229.92,-14.29,481.19,486.34,312.52,15.87,515.21,207.53,3.91,19.18,-4.73,2220.08
22000.50,234.63,-15.03,475.90,456.91,339.58,9.62,518.46,215.92,8.01,20.50,-4.41,2180.52
22038.94,239.98,-14.31,484.54,440.59,355.78,-1.60,534.83,214.36,11.57,20.70,-4.14,2152.45
22077.38,244.59,-10.93,492.25,446.25,352.10,-12.07,544.91,206.58,10.49,18.69,-5.83,2155.70
22115.83,248.60,-11.65,490.29,470.23,337.27,-20.50,538.63,196.99,8.13,14.70,-7.70,2185.35
22154.27,246.87,-15.57,488.34,493.56,327.20,-27.35,534.38,182.72,7.83,12.67,-5.34,2223.40
22192.71,237.68,-14.72,497.97,506.73,328.29,-28.24,545.67,163.95,8.75,14.94,0.58,2259.62
22231.15,230.81,-8.43,519.38,524.26,334.00,-20.13,557.25,150.27,11.23,18.00,4.83,2305.64
22269.60,234.94,-3.07,543.34,556.95,336.98,-6.72,555.08,148.79,15.33,18.85,4.65,2381.45
22308.04,246.71,-3.06,555.42,583.12,338.61,4.51,545.37,156.88,17.21,20.22,2.48,2486.94
22346.48,255.19,-9.22,544.91,572.58,343.61,4.66,533.70,168.62,14.37,24.29,1.70,2605.00
22384.92,253.52,-18.77,515.82,527.34,351.88,-8.19,516.33,178.82,9.94,27.81,1.95,2721.53
22423.37,246.51,-24.61,484.29,476.45,360.93,-22.67,494.42,182.67,7.85,27.65,1.92,2818.94
22461.81,243.92,-19.29,466.06,442.54,370.17,-27.09,473.41,181.00,7.98,25.29,2.66,2880.08
22500.25,249.21,-2.76,468.08,429.43,378.21,-19.73,454.52,180.78,7.98,23.10,3.91,2931.87
22538.69,257.17,17.12,483.77,428.53,378.88,-3.87,443.27,184.66,7.34,20.89,3.92,3046.41
22577.13,259.42,32.85,495.75,423.79,372.63,5.40,452.59,188.76,7.16,18.84,4.60,3261.99
22615.58,255.25,39.81,493.88,406.26,366.39,14.67,484.49,190.87,7.31,19.89,7.71,3538.35
22654.02,255.28,34.19,487.33,393.29,345.38,28.22,519.60,190.83,7.59,24.87,8.99,3810.40
22692.46,265.87,18.16,490.17,412.29,330.41,33.46,536.82,186.93,8.65,29.21,5.52,4041.17
22730.90,275.72,1.84,503.48,457.51,333.31,31.82,537.18,183.31,10.26,28.57,1.96,4217.56
22769.35,268.81,-6.19,516.55,489.57,352.23,23.21,533.51,191.03,12.61,24.38,2.40,4348.50
22807.79,246.58,-6.21,518.58,487.53,372.31,8.83,527.64,208.71,15.56,21.32,5.17,4466.19
22846.23,227.08,-4.05,509.04,470.56,379.00,-2.06,515.63,221.59,16.33,21.45,8.16,4591.44
22884.67,222.87,-3.56,497.39,460.96,374.07,-0.42,502.85,223.68,13.72,22.95,10.06,4709.58
22923.12,227.97,-3.84,493.50,459.96,371.95,10.41,504.03,215.42,10.59,23.81,8.89,4790.83
22961.56,228.94,-3.55,501.06,464.07,374.28,20.56,531.05,193.97,8.99,24.17,5.83,4816.44
23000.00,220.76,-5.80,516.11,475.77,366.11,25.46,575.18,166.73,8.26,24.02,3.99,4792.55
23001.00,209.29,-12.54,529.91,491.40,344.41,24.87,609.35,153.46,7.62,22.47,2.18,4752.69
23064.97,205.64,-16.52,538.76,497.13,325.10,18.87,618.79,165.64,7.30,20.58,-1.74,4734.96
23128.94,216.71,-9.55,548.42,488.55,319.10,9.96,617.87,191.99,7.81,20.13,-5.30,4746.05
23192.91,238.26,4.04,562.26,480.41,323.78,1.93,628.32,208.59,8.63,19.94,-6.17,4754.32
23256.88,260.67,11.12,572.24,484.19,336.35,-4.22,651.12,206.51,8.87,19.06,-6.67,4724.62
23320.85,277.04,4.06,570.59,491.62,357.27,-8.61,668.73,197.97,10.11,19.87,-8.69,4648.96
23384.82,282.92,-11.15,562.81,488.82,379.86,-9.19,666.55,193.87,14.39,23.51,-9.84,4531.93
23448.79,276.64,-21.58,558.72,470.76,390.65,-5.49,644.00,194.49,18.60,27.43,-8.73,4370.14
23512.76,262.60,-23.45,558.49,444.01,386.46,-3.05,612.99,199.18,16.87,29.83,-8.74,4174.61
23576.73,249.40,-23.54,556.57,425.27,379.23,-7.16,599.89,207.35,9.80,31.64,-12.16,3991.20
23640.70,243.08,-24.31,550.75,423.61,378.68,-14.08,586.78,212.61,4.81,32.02,-15.13,3866.33
23704.67,242.16,-22.01,541.61,430.46,382.66,-16.62,570.82,207.71,6.17,28.28,-13.24,3801.28
23768.64,241.54,-17.05,532.52,439.97,384.03,-15.31,568.68,193.12,10.79,22.70,-7.46,3752.61
23832.61,242.02,-13.61,530.12,453.90,376.96,-15.48,581.51,174.70,14.05,20.18,-1.08,3671.08
23896.58,247.54,-13.82,535.17,470.63,362.38,-18.51,599.56,158.19,15.18,20.24,3.42,3541.00
23960.54,253.53,-16.52,538.55,495.18,350.53,-22.79,610.10,149.57,15.82,20.33,3.63,3388.49
24024.52,251.20,-16.78,535.37,529.33,350.98,-27.08,607.40,152.83,15.17,20.63,-0.08,3254.27
24088.48,240.74,-10.07,533.34,549.35,361.03,-29.73,592.87,165.46,10.60,20.48,-2.75,3156.30
24152.46,230.06,1.03,538.44,537.11,369.46,-30.98,572.11,183.24,4.26,19.06,-1.46,3077.65
24216.42,224.55,7.53,544.12,513.75,370.02,-33.23,550.76,194.35,3.07,18.32,0.71,2994.68
24280.39,224.16,2.65,543.82,507.17,365.89,-33.85,537.16,205.47,9.28,19.23,0.51,2911.42
24344.36,227.92,-8.35,543.47,513.92,360.37,-26.38,542.14,226.96,16.83,20.51,-1.25,2853.61
24408.33,234.45,-10.75,552.99,517.69,351.85,-12.71,566.00,235.03,19.32,21.57,-2.64,2828.31
24472.30,241.19,0.79,561.90,517.56,340.94,-2.60,593.46,223.80,16.53,21.25,-2.69,2807.30
24536.27,249.24,14.39,570.82,513.36,333.49,0.62,606.52,202.00,12.24,18.67,-0.80,2767.87
24600.24,263.48,17.36,582.22,493.31,335.24,1.68,597.66,181.57,9.48,16.65,1.49,2722.66
24664.21,285.44,8.32,571.49,460.67,347.65,0.68,576.59,166.22,8.66,17.93,1.10,2679.38
24728.18,308.85,-8.32,534.43,441.25,365.90,-6.40,564.37,155.04,8.93,20.26,-1.73,2617.64
24792.15,322.45,-25.05,483.90,450.20,380.64,-15.38,566.95,148.75,10.04,20.63,-4.20,2535.77
24856.12,322.53,-30.63,445.09,476.94,385.70,-17.16,567.11,146.54,12.13,19.83,-4.87,2469.63
24920.09,317.84,-20.24,436.83,502.73,382.46,-9.77,557.23,145.00,13.95,20.08,-2.90,2447.96
24984.06,315.17,-2.45,454.48,513.23,377.02,0.73,551.17,144.29,13.34,22.84,2.07,2459.23
25048.03,313.41,11.32,477.65,502.91,374.73,5.75,554.95,150.77,11.21,27.29,8.15,2464.04
25112.00,312.21,17.97,492.66,482.44,376.68,1.70,559.69,168.09,11.57,29.07,12.84,2434.56
25175.97,312.04,20.30,500.16,468.92,380.35,-5.00,564.11,187.46,15.03,25.84,15.41,2382.82
25239.94,308.28,20.84,507.32,465.39,382.45,-5.71,574.97,196.84,17.15,22.24,17.08,2341.53
25303.91,295.69,18.83,523.11,465.19,382.91,0.72,591.07,195.19,15.45,23.25,19.18,2316.61
25367.88,281.59,12.32,555.42,466.92,387.52,10.31,608.10,188.48,12.85,26.14,19.96,2283.65
25431.85,283.58,5.06,597.71,473.09,401.34,20.17,626.70,180.79,12.99,25.36,15.88,2245.95
25495.82,304.04,4.94,625.40,484.25,418.93,27.39,642.98,174.95,15.69,21.64,7.42,2245.61
25559.79,321.73,12.68,622.14,494.34,427.23,27.39,646.78,174.65,17.80,19.84,0.43,2286.20
25623.76,319.83,20.01,599.22,491.45,419.26,20.14,633.31,179.49,17.29,21.10,0.61,2313.28
25687.73,307.21,19.58,580.51,472.14,400.72,13.06,606.67,181.32,14.91,22.73,8.01,2291.66
25751.70,302.42,12.94,578.32,447.34,383.97,10.39,577.92,173.21,12.85,23.11,16.50,2236.32
25815.67,308.17,9.43,583.27,429.57,379.06,7.27,562.62,160.20,13.00,23.08,17.80,2172.27
25879.64,313.90,14.50,575.94,422.54,385.52,0.69,565.95,154.54,15.24,23.70,9.35,2111.27
25943.61,315.70,20.21,554.32,421.21,391.03,-4.12,572.39,160.86,16.59,24.37,-1.85,2055.43
26007.58,318.22,14.17,539.11,418.23,387.82,-2.03,566.21,172.52,13.82,23.12,-6.81,2000.32
26071.54,320.04,-4.30,543.25,410.07,383.19,7.90,553.29,181.05,8.77,19.35,-4.60,1941.81
26135.52,313.81,-22.64,554.49,399.45,383.11,23.87,547.99,181.29,7.39,15.73,-0.82,1886.76
26199.48,302.03,-28.05,559.12,394.84,382.74,37.96,551.59,173.80,10.96,15.94,1.09,1850.32
26263.46,295.75,-18.72,561.94,403.28,379.66,41.13,555.12,169.07,15.03,20.19,1.86,1841.47
26327.42,294.79,-0.99,571.86,425.65,377.06,35.93,553.26,177.72,15.74,24.36,3.05,1861.87
26391.39,286.98,16.82,583.87,458.85,375.48,30.34,549.57,195.82,11.26,24.80,5.25,1910.58
26455.36,269.14,24.72,584.48,489.95,374.50,24.10,551.72,212.63,4.19,22.50,7.38,1969.52
26519.33,253.13,19.12,571.96,497.38,375.25,15.34,561.40,225.58,2.27,21.09,7.02,2004.11
26583.30,250.26,9.07,562.82,473.35,374.27,8.45,569.56,236.80,7.39,21.73,3.44,2003.75
26647.27,259.80,2.84,572.37,434.96,363.34,6.26,566.13,244.69,12.03,23.32,-1.20,1995.05
26711.24,274.06,-0.51,595.64,407.73,340.73,7.89,555.10,246.24,12.66,25.10,-4.04,1998.13
26775.21,288.84,-2.13,612.57,403.82,318.51,15.18,551.66,238.69,13.95,25.25,-3.43,2004.02
26839.18,302.41,1.80,606.62,415.96,313.28,29.12,560.24,217.74,17.75,22.78,-0.74,2003.79
26903.15,306.27,14.27,578.73,431.48,330.06,43.89,567.57,186.22,19.13,21.12,0.75,2004.79
26967.12,291.31,30.09,546.11,445.96,357.36,52.65,567.65,162.99,15.14,22.65,0.92,2008.99
27031.09,266.44,38.47,526.46,455.71,378.34,53.67,575.24,168.33,10.15,24.06,2.77,2004.76
27095.06,255.21,34.09,524.95,451.60,387.02,47.86,598.68,195.81,9.22,23.07,6.78,1992.43
27159.03,267.62,20.65,536.53,436.72,392.18,37.37,619.98,213.66,11.27,22.41,9.40,1991.93
27223.00,289.97,6.30,555.57,433.85,404.72,27.72,615.25,202.14,12.63,23.22,7.90,2012.90
27286.97,306.76,0.10,579.40,454.88,425.38,24.61,580.78,174.52,12.45,22.41,4.54,2041.86
27350.94,314.81,7.94,602.84,477.36,444.89,27.78,539.53,154.89,11.51,18.90,3.68,2065.16
27414.91,313.36,25.41,615.58,474.33,454.00,33.42,527.95,150.30,10.40,15.73,7.14,2080.77
27478.88,301.77,38.09,612.50,452.83,452.29,41.55,564.08,152.45,10.17,15.04,11.97,2085.28
27542.85,288.92,35.67,603.23,437.38,445.41,53.71,625.52,156.29,11.29,17.12,12.39,2073.10
27606.82,286.75,23.19,603.62,434.38,436.87,65.74,673.74,163.92,13.37,22.82,7.56,2051.25
27670.79,295.40,13.10,618.89,436.97,426.71,70.82,684.95,172.99,16.63,30.31,3.71,2030.25
27734.76,305.06,11.56,641.07,442.50,414.50,67.32,696.16,175.50,20.67,32.83,4.57,2001.54
27798.73,308.38,14.85,661.90,449.47,402.57,59.11,701.82,169.03,23.55,27.39,6.35,1957.87
27862.70,305.91,15.71,671.07,454.03,398.66,52.99,689.65,159.66,24.12,20.71,4.77,1924.85
27926.67,303.67,13.75,680.23,453.99,409.44,55.32,660.04,152.48,23.29,20.09,1.29,1931.59
27990.64,306.34,15.41,697.38,449.66,429.79,62.80,642.59,144.83,22.35,24.79,-0.22,1968.96
28054.61,311.90,20.89,713.16,441.71,446.80,62.46,669.26,134.23,20.48,29.54,1.61,2005.85
28118.58,316.15,22.12,724.00,430.36,452.14,50.21,727.45,128.49,15.53,29.88,5.72,2022.12
28182.54,321.08,16.21,718.91,417.52,446.04,37.79,770.08,135.73,8.71,24.47,9.31,2014.73
28246.52,331.25,8.75,690.04,405.53,434.68,34.63,773.70,149.05,4.90,17.20,9.41,1993.03
28310.48,344.35,5.03,655.48,392.99,424.89,38.51,763.97,156.95,5.96,14.00,6.02,1972.41
28374.46,351.31,5.76,648.75,379.66,419.40,44.68,773.11,159.93,9.04,15.48,1.68,1965.25
28438.42,345.83,9.40,674.89,375.97,417.44,48.57,797.44,162.97,11.45,17.68,-0.87,1971.96
28502.39,330.85,16.05,703.16,392.38,417.08,43.82,808.65,164.96,12.58,18.46,-0.04,1978.24
28566.36,314.05,26.54,709.25,415.31,415.02,29.29,785.74,164.50,13.53,18.25,3.24,1972.68
28630.33,301.35,36.42,702.45,414.25,407.39,13.09,734.20,163.82,15.11,17.56,6.68,1963.85
28694.30,295.84,38.63,711.90,397.19,392.68,4.72,682.03,163.38,15.90,17.79,8.87,1963.94
28758.27,295.01,34.38,752.37,380.12,373.07,6.51,653.45,163.25,14.70,21.09,9.80,1969.77
28822.24,291.28,30.90,796.61,338.22,356.14,13.95,650.86,167.02,12.80,26.04,9.47,1972.65
28886.21,283.37,30.03,798.24,318.37,353.73,20.89,663.23,173.62,11.54,28.05,7.49,1969.82
28950.18,282.20,29.71,750.98,327.26,367.76,21.98,681.42,173.96,9.99,25.61,5.79,1968.21
29014.15,296.63,30.89,694.26,354.03,385.20,14.48,700.56,162.50,7.29,20.38,7.07,1984.42
29078.12,316.79,33.28,662.12,387.62,395.04,4.66,713.72,145.07,5.70,12.58,9.18,2018.78
29142.09,323.36,31.29,658.13,415.56,394.99,6.66,715.85,134.72,7.00,3.75,7.67,2035.98
29206.06,313.38,22.44,669.71,422.78,387.53,25.36,713.58,139.18,9.20,-0.30,2.62,2004.80
29270.03,303.26,12.64,682.40,411.64,383.21,47.36,715.02,152.41,10.05,3.21,-1.85,1940.34
29334.00,306.18,7.57,685.35,403.72,392.46,56.93,714.37,163.39,8.96,9.01,-4.02,1880.38
29397.97,320.20,6.81,675.93,406.59,406.91,51.93,701.23,166.49,6.70,11.82,-6.27,1843.38
29461.94,333.62,8.21,663.43,403.62,405.23,39.25,673.26,160.08,6.60,13.52,-9.40,1826.69
29525.91,332.54,11.84,661.70,384.86,383.91,25.15,635.28,147.46,10.18,16.72,-11.23,1822.75
29589.88,315.64,18.91,670.80,363.40,365.11,13.57,601.59,138.36,13.25,18.61,-10.50,1827.66
29653.85,301.65,26.05,676.37,357.01,366.17,5.96,591.51,139.38,13.07,17.68,-7.90,1847.98
29717.82,302.50,25.53,670.87,367.92,382.89,1.52,610.73,147.77,12.70,17.82,-5.43,1892.49
29781.79,302.69,18.00,658.66,380.71,404.79,0.49,647.14,157.23,13.94,19.79,-3.66,1947.68
29845.76,289.91,15.93,642.18,376.53,423.37,3.57,684.52,163.38,14.92,18.35,0.28,1983.06
29909.73,279.37,26.10,620.43,353.15,431.83,7.37,711.05,164.24,14.78,12.25,7.08,1987.45
29973.70,286.03,40.19,597.94,329.31,432.00,5.84,717.88,161.27,14.40,8.16,11.87,1975.87
30037.67,303.27,47.66,583.86,323.40,431.07,-1.87,699.35,159.78,14.67,11.16,11.11,1960.76
30101.64,319.34,46.87,580.62,331.90,431.61,-8.76,663.15,164.86,15.27,18.26,6.81,1937.81
30165.61,331.14,40.42,579.26,336.85,436.11,-6.79,632.87,174.53,14.45,23.18,2.35,1904.39
30229.58,339.19,30.02,572.25,333.84,448.40,4.65,625.01,177.05,12.45,23.52,-0.65,1879.34
30293.54,340.92,19.09,566.30,342.88,461.50,17.75,628.46,179.57,12.10,22.80,0.04,1888.91
30357.52,334.25,13.63,575.15,382.24,460.25,24.59,621.15,174.84,14.06,24.47,6.96,1935.88
30421.48,323.96,16.90,599.98,433.93,439.60,23.33,604.22,165.93,15.09,25.02,16.34,1998.71
30485.46,315.48,26.26,622.72,455.95,412.27,16.58,602.36,158.48,12.24,20.75,18.40,2054.04
30549.42,309.28,36.41,624.15,433.65,395.46,11.15,626.08,150.40,7.59,17.03,10.90,2085.54
30613.39,307.35,42.82,605.14,393.62,390.10,15.80,655.47,140.69,5.72,18.25,3.36,2081.32
30677.36,311.63,42.68,584.11,366.08,385.08,32.30,668.39,134.65,7.01,19.09,2.89,2039.02
30741.33,315.64,34.94,578.85,357.27,381.84,53.47,662.44,137.16,8.44,16.63,5.86,1974.24
30805.30,310.66,20.13,592.95,355.60,392.43,70.14,646.83,148.06,8.62,16.16,5.49,1912.29
30869.27,297.29,3.51,613.64,353.98,416.31,77.33,630.24,161.93,8.78,19.94,0.30,1861.68
30933.24,283.54,-3.81,624.02,359.62,438.79,77.16,616.32,170.67,10.39,23.80,-5.46,1810.37
30997.21,275.52,4.13,620.60,373.10,447.47,74.00,605.60,168.66,11.13,24.75,-6.82,1763.33
31061.18,274.04,18.70,615.02,376.35,440.31,65.94,599.68,155.84,6.20,23.79,-2.82,1754.76
31125.15,276.92,26.53,617.75,362.27,424.79,47.93,597.36,139.13,-3.17,22.62,3.26,1797.89
31189.12,279.74,24.13,624.39,349.46,412.83,21.19,596.79,130.47,-8.71,20.73,7.00,1855.47
31253.09,277.48,17.81,622.33,348.57,408.53,-6.20,606.55,136.84,-5.45,17.29,6.09,1886.03
31317.06,270.95,14.25,620.27,348.99,402.71,-22.93,629.72,150.45,2.93,15.24,2.13,1888.80
31381.03,269.67,13.79,597.62,348.44,388.25,-20.70,644.16,155.46,10.15,17.12,-1.95,1885.57
31445.00,280.43,11.98,566.45,356.39,373.42,-5.42,632.28,146.67,13.02,18.95,-4.82,1889.44
31508.97,293.15,7.30,546.69,368.30,370.54,7.84,610.24,133.76,11.59,16.59,-5.59,1905.54
31572.94,291.67,4.98,549.24,369.77,382.00,15.45,599.91,126.94,8.83,12.67,-3.88,1934.80
31636.91,278.79,10.92,567.53,360.61,402.93,24.06,601.26,127.39,8.37,11.74,-0.91,1964.02
31700.88,273.18,22.50,588.78,353.64,424.93,33.15,603.38,131.29,10.64,14.94,2.95,1972.62
31764.85,283.69,30.15,605.68,356.03,437.58,37.78,600.40,136.72,13.63,19.28,6.59,1960.14
31828.82,302.33,29.53,613.17,363.25,439.57,39.54,597.42,143.76,16.17,19.73,5.61,1950.96
31892.79,317.78,25.02,606.86,366.28,444.13,41.59,583.14,151.40,18.55,15.59,-0.55,1960.09
31956.76,324.48,20.54,592.36,359.31,461.20,43.18,574.65,159.35,20.90,12.37,-4.81,1968.53
32020.73,321.82,16.69,583.85,342.52,481.54,44.28,585.45,168.97,21.89,13.27,-3.39,1952.70
32084.70,312.31,15.44,587.61,321.49,489.61,46.40,607.47,177.26,20.28,15.12,-1.02,1923.42
32148.67,302.77,17.56,597.38,306.19,482.55,50.51,619.84,177.16,16.82,15.40,-1.09,1908.03
32212.64,300.72,17.16,603.41,302.36,467.81,55.98,615.53,170.09,12.55,15.39,-1.27,1911.36
32276.61,307.70,9.37,600.96,303.50,452.44,56.94,606.75,166.60,7.80,15.69,-0.82,1918.33
32340.58,319.89,1.31,596.06,305.56,440.73,46.26,605.82,175.17,4.00,15.80,-1.99,1917.85
32404.54,333.69,2.89,595.42,315.80,436.02,29.14,612.94,204.55,3.19,16.15,-3.81,1913.49
32468.52,346.68,9.91,591.96,327.98,439.05,20.94,620.74,249.76,6.09,16.65,-1.92,1918.24
32532.48,357.00,11.07,579.90,320.20,445.00,25.24,620.88,269.60,11.51,16.73,4.08,1938.96
32596.46,365.63,6.83,571.78,293.55,447.63,28.28,611.63,234.98,16.05,16.85,9.18,1972.84
32660.42,372.92,5.74,577.96,276.33,446.67,21.28,599.99,176.80,15.64,17.67,10.71,2010.31
32724.39,373.95,8.17,587.82,287.28,446.51,10.97,593.87,135.80,10.83,18.83,11.07,2022.96
32788.36,367.88,7.72,588.14,321.01,450.38,5.68,597.87,124.63,7.46,19.62,11.52,1978.57
32852.33,362.32,2.68,581.80,359.31,456.86,6.97,609.80,149.19,8.73,21.03,10.34,1886.92
32916.30,357.98,-2.50,580.04,383.98,458.90,14.21,617.08,195.63,11.41,23.49,6.76,1799.58
32980.27,346.71,-3.73,588.17,386.89,449.97,26.25,609.94,220.64,12.20,23.29,2.04,1762.14
33044.24,332.62,-2.73,600.09,372.37,431.22,38.10,596.47,204.78,11.48,17.96,-1.41,1776.97
33108.21,330.45,-2.47,604.91,351.54,410.28,43.57,590.99,176.33,9.76,12.36,-1.33,1810.63
33172.18,339.88,-0.14,601.10,334.75,398.15,43.68,594.15,161.93,7.06,12.03,1.08,1843.24
33236.15,346.43,7.79,598.81,326.64,403.51,42.38,599.15,157.97,5.58,15.94,2.16,1884.94
33300.12,342.09,20.56,606.58,322.64,420.45,37.55,605.62,154.11,6.81,20.23,1.49,1934.32
33364.09,328.91,36.68,621.46,312.92,429.96,27.99,612.51,149.94,8.16,23.39,1.79,1966.83
33428.06,314.49,52.12,631.07,299.84,424.30,17.67,613.23,149.84,7.74,25.51,3.70,1968.37
33492.03,306.96,58.06,623.90,299.89,417.91,7.37,609.56,156.52,8.23,26.15,5.48,1946.19
33556.00,305.39,49.47,600.63,315.34,426.02,-2.49,616.01,168.45,11.30,24.11,6.81,1914.04
33619.97,303.66,31.87,575.77,324.76,444.61,-6.90,639.23,179.67,14.71,19.77,8.91,1881.01
33683.94,304.59,15.72,565.90,313.20,459.23,-6.07,659.23,182.42,17.11,15.98,11.64,1849.62
33747.91,314.50,7.82,575.45,288.99,465.11,-6.79,647.42,174.65,17.82,14.90,13.27,1822.28
33811.88,328.51,8.10,596.90,266.98,468.15,-10.00,606.06,163.96,14.31,15.71,12.99,1803.92
33875.85,337.35,12.28,621.20,253.51,468.27,-9.38,569.85,157.12,7.75,16.76,11.99,1793.84
33939.82,339.00,16.54,640.78,246.35,456.61,-0.74,564.18,151.22,5.10,18.18,11.46,1783.98
34003.79,332.55,17.78,650.66,242.29,435.54,12.78,582.13,143.19,9.44,20.61,11.70,1770.77
34067.76,318.60,12.16,655.08,241.84,427.52,23.97,601.94,138.18,15.97,22.52,13.14,1765.05
34131.73,308.06,-0.42,663.68,245.73,447.14,27.27,609.90,141.51,19.98,22.61,14.51,1781.83
34195.70,309.94,-12.94,677.44,258.20,474.96,20.58,610.32,150.59,20.58,21.98,12.50,1813.97
